问题描述,是否解决,（表内关联）关联其他问题,原因及解决方法,解决时间,是否需要定制修改,任务编号,创建人,同步属性,创建时间,平台报警提示,设备相关配置文件,位置：服务器ip+车间名称,编辑时间,日记,数据库相关表,所在服务器,同步（关联用）同步设备编号 1,相关项目,备注,项目类型,服务器相关模块,对现场影响,同步关联问题 1,子任务编号,任务ID,同步（关联用）同步设备编号,同步关联问题 1,货架号,记录详细过程（案例）,归属,同步关联问题,问题时间,设备配置文件,设备序列号,设备IP,位置,设备编号,附件
跨环境任务完成后又多下发了一个任务,已解决,,跨环境子任务完成后点了重新执行导致货架位置丢失，重新绑定到其他点位，再绑定到工作台后下发回库任务。,2025/5/15,,,汪羽杰,,2025/5/15 9:57,,,2.27_1_行业备料部,2025/6/7 4:33,,,10.68.2.27,,,,问题记录,"https://flowus.cn/78ba2012-8e37-4e08-95d7-446924a5cafd,https://flowus.cn/5fd53ccf-0ebf-409c-8e39-42d2c3281e16",单个设备级（轻微影响）,,,,,,,YES,"平台,跨环境",,2025/5/15,,,,行业备料部,,
设备遇障,已解决,,设备下载货架模型和平台不一致，地图点位配置的货架模型错误,2025/5/15,,,汪羽杰,,2025/5/15 10:50,,,2.31_28_29_31_A2存储备料区域,2025/6/7 4:40,,,10.68.2.31,,,,问题记录,,单个设备级（轻微影响）,,,,,,,YES,"平台,AGV  设备",,2025/5/15,,,,829_31_A2存储备料区域,,
设备阻挡,已解决,,,2025/5/15,,,汪羽杰,,2025/5/15 11:30,段路径拒绝(0X811路径上有其他设备或者货物危险,,2.31_19_3F前端四部车间,2025/6/7 5:44,,,10.68.2.31,,,,问题记录,,,,,,,,,YES,"平台,跨环境",,2025/5/15,,,,93F前端四部车间,,
在线宽约束下不可达,已过期,,,2025/5/16,,,汪羽杰,,2025/5/16 8:35,,,,2025/6/6 12:07,,,10.68.,,,,问题记录,,,,,,,,,,,,2025/5/16,,,,,,
没有上报10,未查明,,第一次上报时超时，后续重试上报返回成功，但德玛方面未执行调用接口操作。,2025/5/16,,,汪羽杰,,2025/5/16 11:14,,,2.32_1_A3结构备料部@举升,2025/6/7 6:10,,,10.68.2.32,,,,问题记录,,,,,,,,,YES,德玛,,2025/5/16,,,,A3结构备料部@举升,,
地图修改导致电梯配置丢失,已解决,,电梯点被修改导致,2025/5/19,,,汪羽杰,,2025/5/19 9:11,,,2.31_7_1F包材包材,2025/6/7 5:05,,,10.68.2.31,,,,问题记录,,,,,,,,,,,,2025/5/19,,,,1F包材包材,,
配置异常,已解决,,,2025/5/20,,,汪羽杰,,2025/5/20 8:52,,,2.11_1_机芯制造部,2025/6/6 12:39,,,10.68.2.11,,,,问题记录,,,,,,,,,,,,2025/5/20,,,,机芯制造部,,
货架获取角度失败,已解决,,,2025/5/20,,,汪羽杰,,2025/5/20 9:27,段路径拒绝（2065，货架角度获取失败）,,2.32_1_A3结构备料部@举升,2025/6/6 12:58,,,10.68.2.32,,,,问题记录,,地图点位货架角度配置有误，瓦力工具获取4.2版本平台无法获取到,,,,,,,YES,地图问题,,2025/5/20,,,,A3结构备料部@举升,,
C579货架不开始,已解决,,禁行区没关,2025/5/21,,,汪羽杰,,2025/5/21 15:15,,,2.1_4_A4物流_2F,2025/6/6 22:15,,,10.68.2.1,,,,问题记录,,,,,,,,,,配置问题,,2025/5/21,,,,A4物流2F,,
设备脱轨,已解决,,地码太歪,2025/5/22,,,汪羽杰,,2025/5/22 9:48,,,2.31_19_3F前端四部车间,2025/6/7 1:35,,,10.68.2.31,,,,问题记录,,单个设备级（轻微影响）,,,,,,,,"现场施工,脱轨",,2025/5/22,,,,93F前端四部车间,,
设备不动，部分平台配置没下发,已查明原因（不同版本需注意）,,agv_robot 那个车上的config_param没有，与服务器迁移后数据库数据缺失有关。,2025/5/23,,,汪羽杰,,2025/5/22 10:43,,,2.31_28_29_31_A2存储备料区域,2025/6/7 5:14,,https://flowus.cn/ab5832a0-2a32-4ffa-8dd3-80a37e76a256,10.68.2.31,,,,问题记录,,单个设备级（轻微影响）,,,,,,,YES,未知,,2025/5/22,https://flowus.cn/3bbceaf2-bf07-4d56-8eca-6ad6fc45a796,,,829_31_A2存储备料区域,,
没有自定义上报状态,已解决,,task_status_config 表中的 id 字段和 task_status 字段要一致,2025/5/22,,,汪羽杰,,2025/5/22 13:53,,,,2025/6/10 9:21,,https://flowus.cn/30aeff2a-bbca-41dd-ad9d-72df65423c65,10.68.,,,,问题记录,,,,,,,,,,,,2025/5/22,,,,,,
设备自动离线重启,已解决,,,2025/5/23,,,汪羽杰,,2025/5/23 8:33,,,2.15_1_A3结构备料部（小分拣）,2025/6/10 9:22,,,10.68.2.15,,,,问题记录,,,,,,,,,,AGV  设备,,2025/5/23,,,,A3结构备料部（小分拣）,,
设备脱轨,已解决,,地图上没有22220004这个地码导致脱轨,2025/5/23,,,汪羽杰,,2025/5/23 9:01,,,2.31_20_3F前端一部车间,2025/6/7 5:12,,,10.68.2.31,,,,问题记录,,调试级（轻微或无）,,,,,,,,脱轨,,2025/5/23,,,,03F前端一部车间,,
扫码枪回不去,已解决,,,2025/5/23,,,汪羽杰,,2025/5/23 9:53,,,2.25_1_2_A2电料仓,2025/6/7 4:49,,,10.68.2.25,,,,问题记录,,,,,,,,,,,,2025/5/23,,,,2_A2电料仓,,
218设备遇障,已解决,,,,,,汪羽杰,,2025/5/26 8:38,,,2.31_7_1F包材包材,2025/6/19 19:05,https://flowus.cn/c812fdca-f423-49f1-8772-bf193e8278b6,,10.68.2.31,,,,,,,,,,,,,,,,,,,,1F包材包材,,
218设备遇障,已过期,,,,,,汪羽杰,,2025/5/26 8:38,,,,2025/6/19 19:07,,,10.68.,,,,,,,,,,,,,,,,,,,,,,
路径不可达,已解决,,地图问题,,,,汪羽杰,,2025/5/27 15:04,,,2.1_4_A4物流_2F,2025/6/19 19:06,https://flowus.cn/eb23bd89-739a-4d75-9ef5-089a121b0074,,10.68.2.1,,,,问题记录,,,,,,,,,,地图问题,,,,,,A4物流2F,,
跨环境任务下发错误,已解决,,任务发错,,,,汪羽杰,,2025/5/28 9:19,,,2.31_2_富阳电装工厂,2025/6/19 19:07,https://flowus.cn/8d1cfdfc-75b6-49fc-9cf5-e23e5ab5a040,,10.68.2.31,,,,问题记录,,,,,,,,,,平台,,,,,,富阳电装工厂,,
跨环境任务失败,已过期,,,,,,汪羽杰,,2025/5/29 8:42,,,2.17_1_A2备料and存储二部,2025/6/19 19:07,https://flowus.cn/b155083d-b4b2-4cda-9279-857566ff893f,,10.68.2.17,,,,,,,,,,,,,,,,,,,,A2备料and存储二部,,
回库会绕路,未解决,,,,,,汪羽杰,,2025/5/30 9:09,,,2.10_1_PCBA 半成品仓库,2025/6/10 9:30,https://flowus.cn/1b7180a8-512a-4bdb-b13c-f5193ff26008,,10.68.2.10,,,,问题记录,,,,,,,,,,,,,,,,PCBA 半成品仓库,,
脱轨问题,已过期,,,,,,汪羽杰,,2025/5/30 13:46,,,,2025/6/19 19:07,https://flowus.cn/fd566974-c215-4f0a-83a1-25e184f6a3a1,,10.68.,,,,,,,,,,,,,,,,,,,,,,
所有车停,已过期,,,,,,汪羽杰,,2025/6/3 9:45,,,,2025/6/19 19:05,https://flowus.cn/bb01e167-5e2e-4407-9075-f7e91f7eb724,,10.68.,,,,,,,,,,,,,,,,,,,,,,
库位状态获取问题,已过期,,,,,,汪羽杰,,2025/6/3 9:46,,,,2025/6/19 19:07,https://flowus.cn/bb01e167-5e2e-4407-9075-f7e91f7eb724,,10.68.,,,,,,,,,,,,,,,,,,,,,,
上报报文问题,已解决,,现场更换网络导致上报不通,,,,汪羽杰,,2025/6/3 9:46,,,2.14_3_行业二部,2025/6/19 19:05,https://flowus.cn/bb01e167-5e2e-4407-9075-f7e91f7eb724,,10.68.2.14,,,,,,,,,,,,,,,,,,,,行业二部,,
设备绕路问题,已过期,,,,,,汪羽杰,,2025/6/3 9:47,,,,2025/6/19 19:07,https://flowus.cn/bb01e167-5e2e-4407-9075-f7e91f7eb724,,10.68.,,,,,,,,,,,,,,,,,,,,,,
机器人本体异常小分拣,已过期,,,,,,汪羽杰,,2025/6/3 9:51,,,,2025/6/19 19:06,https://flowus.cn/bb01e167-5e2e-4407-9075-f7e91f7eb724,,10.68.,,,,,,,,,,,,,,,,,,,,,,
mz01脱轨,已解决,,设备在11110014点位切换成了激光模式，导致脱轨，修改设备型号参数，关闭激光导航。地图修改默认导航方式为二维码导航。,,,,汪羽杰,,2025/6/3 13:51,,,2.31_28_29_31_A2存储备料区域,2025/6/8 12:08,https://flowus.cn/bb01e167-5e2e-4407-9075-f7e91f7eb724,https://flowus.cn/ab5832a0-2a32-4ffa-8dd3-80a37e76a256,10.68.2.31,,,,问题记录,https://flowus.cn/5fd53ccf-0ebf-409c-8e39-42d2c3281e16,,,,,,,,YES,导航,,,,,,829_31_A2存储备料区域,,
任务只有12个车执行中,已解决,,容量TAL_AUTO_MAXNEXTTARGETNUM设定的是12，没有改成20，且这个任务在分配时这个任务点确实已有12个任务，所以容量管控不分配这个任务,,,,汪羽杰,,2025/6/4 8:32,任务状态：下一个子任务目标点未知分配容量已满,,2.10_1_PCBA 半成品仓库,2025/6/4 8:36,https://flowus.cn/bb01e167-5e2e-4407-9075-f7e91f7eb724,,10.68.2.10,,,,问题记录,https://flowus.cn/4b008bf7-ffa7-4ced-9f2b-641da6284442,,,,,,,,YES,算法,,,,,,PCBA 半成品仓库,,
AGV过龙门架后就无动作,已解决,/%E4%BB%BB%E5%8A%A1%E5%A4%B1%E8%B4%A5%EF%BC%8C%E9%9C%80%E8%A6%81%E8%B0%83%E7%94%A8%E7%BB%A7%E7%BB%AD%E4%BB%BB%E5%8A%A1%E6%8E%A5%E5%8F%A3%E7%9A%84%E4%BB%BB%E5%8A%A1%E4%B8%8B%E5%8F%91%E4%BA%86%E6%8C%87%E5%AE%9A%E8%AE%BE%E5%A4%87%E4%BB%BB%E5%8A%A1%E5%AF%BC%E8%87%B4%E7%9A%84%E9%97%AE%E9%A2%98+24b5ce9f-9cd5-4e15-8230-f94777f081e7.csv,,,,,汪羽杰,,2025/6/4 14:13,,,2.10_1_PCBA 半成品仓库,2025/6/19 19:06,https://flowus.cn/37422967-1c2b-4086-9ef3-b296f4b01311,,10.68.2.10,,,,,,,,,,,,,,平台,,,,,,PCBA 半成品仓库,,
路径不可达,已解决,,设置了限制货架角度,,,,汪羽杰,,2025/6/5 8:57,,,2.31_28_29_31_A2存储备料区域,2025/6/19 19:06,https://flowus.cn/7a54745e-2f9e-44c2-bf98-7339d103f4f2,,10.68.2.31,,,,问题记录,,,,,,,,,YES,地图问题,,,,,,829_31_A2存储备料区域,,
无法跨区域,已解决,,跨点线导致的路径不联通,,,,汪羽杰,,2025/6/5 15:25,,,2.31_19_3F前端四部车间,2025/6/19 19:06,https://flowus.cn/7a54745e-2f9e-44c2-bf98-7339d103f4f2,,10.68.2.31,,,,问题记录,,停线级（较大影响）,,,,,,,YES,地图问题,,,,,,93F前端四部车间,,
2.3数据库挂了,已解决,,数据库oom挂了导致,,,,汪羽杰,,2025/6/5 16:45,,,2.3_1_PCBA_1,2025/6/7 13:22,https://flowus.cn/7a54745e-2f9e-44c2-bf98-7339d103f4f2,,10.68.2.3,,,,问题记录,https://flowus.cn/6cab61c8-fe88-47b8-8eb7-291a0ddc2779,停产级（重大影响）,,,,,,,YES,服务器,,,,,,PCBA1,,
下相机过曝,已解决,,过曝导致的下相机无法扫出地码,,,,汪羽杰,,2025/6/6 9:41,,https://flowus.cn/a10d0570-2a8b-47c5-92fd-081d2dc0ec3d,2.32_1_A3结构备料部@举升,2025/6/19 16:36,https://flowus.cn/42e8a891-a35c-4257-8e8e-0a5eac9135c2,,10.68.2.32,,,,问题记录,,单个设备级（轻微影响）,,,,,,,YES,AGV  设备,,,,,,A3结构备料部@举升,,
呼叫器任务不下发,已解决,,任务模板限制了车的数量,,,,汪羽杰,,2025/6/6 9:43,,,2.31_28_29_31_A2存储备料区域,2025/6/7 13:22,https://flowus.cn/42e8a891-a35c-4257-8e8e-0a5eac9135c2,,10.68.2.31,,,,,,,,,,,,,,,,,,,,829_31_A2存储备料区域,,
改充电桩位置,已过期,,,,,,汪羽杰,,2025/6/6 9:48,,,,2025/6/19 19:06,https://flowus.cn/42e8a891-a35c-4257-8e8e-0a5eac9135c2,,10.68.,,,,,,,,,,,,,,,,,,,,,,
段路径拒绝，设备未移动,已过期,,,,,,汪羽杰,,2025/6/6 15:24,,,2.32_1_A3结构备料部@举升,2025/6/19 19:07,https://flowus.cn/42e8a891-a35c-4257-8e8e-0a5eac9135c2,,10.68.2.32,,,,问题记录,,,,,,,,,,,,,,,,A3结构备料部@举升,,
跨环境不动6月6日上报失败导致跨环境任务状态没更新,已解决,,换包后wms上报地址不通导致跨环境上报也失败。跨环境不动6月6日上报失败导致跨环境任务状态没更新,,,,汪羽杰,,2025/6/6 15:43,,,2.17_1_A2备料and存储二部,2025/6/10 10:50,https://flowus.cn/42e8a891-a35c-4257-8e8e-0a5eac9135c2,,10.68.2.17,,,,问题记录,,,,,,,,,YES,平台,,,,,,A2备料and存储二部,,
A20018货架到交接点放下货架走了,已过期,,,,,,汪羽杰,,2025/6/6 16:56,,,2.1_4_A4物流_2F,2025/6/19 19:05,https://flowus.cn/42e8a891-a35c-4257-8e8e-0a5eac9135c2,,10.68.2.1,,,,问题记录,,,,,,,,,,跨环境,,,,,,A4物流2F,,
wms上报失败,已解决,,dns未配置,,,,汪羽杰,,2025/6/9 9:32,,,2.41_16_保税仓,2025/6/19 19:06,https://flowus.cn/1edd1cb8-be6f-4a6b-8668-02eb5720d5c4,,10.68.2.41,,,,问题记录,,,,,,,,,YES,"平台,状态上报",,,,,,6保税仓,,
跨环境防呆失效,已过期,,,,,,汪羽杰,,2025/6/9 9:52,,,,2025/6/19 19:07,https://flowus.cn/1edd1cb8-be6f-4a6b-8668-02eb5720d5c4,,10.68.,,,,,,,,,,,,,,,,,,,,,,
华消1线任务没有触发,已解决,/%E8%B7%A8%E7%8E%AF%E5%A2%83%E4%B8%8D%E5%8A%A86%E6%9C%886%E6%97%A5%E4%B8%8A%E6%8A%A5%E5%A4%B1%E8%B4%A5%E5%AF%BC%E8%87%B4%E8%B7%A8%E7%8E%AF%E5%A2%83%E4%BB%BB%E5%8A%A1%E7%8A%B6%E6%80%81%E6%B2%A1%E6%9B%B4%E6%96%B0+79ecc429-7783-4e36-8992-eaf6e794696e.csv,6月6号模块更新导致的任务上报失败导致留下部分跨环境任务实际已完成，但未上报成功导致任务留在跨环境任务表中占用容量。,,,,汪羽杰,,2025/6/9 9:52,,,2.19_1_2_3_4_A2_A3_华消_注塑工厂_二楼_华昱欣,2025/6/9 10:33,https://flowus.cn/1edd1cb8-be6f-4a6b-8668-02eb5720d5c4,,10.68.2.19,,,,问题记录,,,,,,,,,YES,平台,,,,,,2_3_4_A2_A3_华消_注塑工厂_二楼_华昱欣,,
跨环境小车预占失败,等待升级,,,,YES,,汪羽杰,,2025/6/9 10:28,,,2.1_11_A2电料仓,2025/6/9 16:00,https://flowus.cn/1edd1cb8-be6f-4a6b-8668-02eb5720d5c4,,10.68.2.1,,,,问题记录,,,,,,,,,,,,,,,,A2电料仓,,
脱轨,已解决,,,,,,汪羽杰,,2025/6/9 13:47,,,2.31_19_3F前端四部车间,2025/6/19 19:06,https://flowus.cn/1edd1cb8-be6f-4a6b-8668-02eb5720d5c4,,10.68.2.31,,,,,,,,,,,,,,,,,,c61c7308-45e2-4ece-8766-9fe50da5eeae,https://flowus.cn/917fb78f-3378-4886-be3a-c7d59069a054,93F前端四部车间,,
空闲下发任务失败（0XFFFFFFFFE）,已过期,,,,,,汪羽杰,,2025/6/9 14:11,,,,2025/6/19 19:05,https://flowus.cn/1edd1cb8-be6f-4a6b-8668-02eb5720d5c4,,10.68.,,,,,,,,,,,,,,,,,,,,,,
库位状态没有改变为空库位,已解决,,重新添加变更条件后恢复，可能原因为子任务一和子任务二都是选的这个目标点，但是子任务二并没有配置变更条件。部分点位有该问题，而其他单位则正常,,,,汪羽杰,,2025/6/9 15:58,,,2.27_1_行业备料部,2025/6/19 19:05,https://flowus.cn/1edd1cb8-be6f-4a6b-8668-02eb5720d5c4,,10.68.2.27,,,,,,,,,,,,,,,,,,,,行业备料部,,
跨环境任务不执行27,已过期,/%E5%BA%93%E4%BD%8D%E7%8A%B6%E6%80%81%E6%B2%A1%E6%9C%89%E6%94%B9%E5%8F%98%E4%B8%BA%E7%A9%BA%E5%BA%93%E4%BD%8D+bf849282-8875-4f6e-b784-f13ab22b9f29.csv,,,,,汪羽杰,,2025/6/9 16:01,,,2.27_1_行业备料部,2025/6/19 19:06,https://flowus.cn/1edd1cb8-be6f-4a6b-8668-02eb5720d5c4,,10.68.2.27,,,,,,,,,,,,,,,,,,,,行业备料部,,
任务发不下去,已解决,,业务流程模板中三个子任务模板不需要发点，一个需要发点，4.3不支持此操作，修改子任务，不需要发点即可。,,,,汪羽杰,,2025/6/10 15:30,,,,2025/6/10 17:20,https://flowus.cn/e2d860fe-ff28-4b8a-bb9f-b65e202434a8,,10.68.,,,,,,,,,,,,,NO,平台,,,,,,,,
wms任务发不下来,已解决,,货架位置丢失导致wms任务一直下发失败，导致堵塞任务过多，最终导致其他下架任务无法下发。,,,,汪羽杰,,2025/6/11 10:13,跨环境任务参数配置错误,,2.27_1_行业备料部,2025/6/11 17:01,https://flowus.cn/a1ff9871-9851-4735-bb2e-1cdf92793978,,10.68.2.27,,,,问题记录,,停产级（重大影响）,,,,,,,YES,平台,,,,,,行业备料部,,
龙门架不走,,,,,,,汪羽杰,,2025/6/12 8:38,设备已绑定货架，不能操作（7013）,,2.10_1_PCBA 半成品仓库,2025/6/19 13:05,https://flowus.cn/6977e392-d77a-499e-b912-5349ba8bc56b,,10.68.2.10,,,,问题记录,,,,,,,,,,,,,,,,PCBA 半成品仓库,,
跨环境任务不下发,已解决,,,,,,汪羽杰,,2025/6/13 8:40,,,2.32_1_A3结构备料部@举升,2025/6/13 10:46,https://flowus.cn/b7614e74-3455-42b5-91c8-dda45f3990a4,,10.68.2.32,,,,问题记录,,,,,,,,,YES,平台,,,,,,A3结构备料部@举升,,
跨环境任务失败,,,,,,,汪羽杰,,2025/6/13 8:55,,,,2025/6/19 13:05,https://flowus.cn/b7614e74-3455-42b5-91c8-dda45f3990a4,,10.68.,,,,,,,,,,,,,,,,,,,,,,
pad服务异常,已解决,,数据库字段太长导致,,,,汪羽杰,,2025/6/17 14:42,,,2.31_7_1F包材包材,2025/6/17 15:50,https://flowus.cn/caa7672c-7ebe-459d-9901-696809bf8305,,10.68.2.31,,,,问题记录,,,,,,,,,YES,平台,,,,,,1F包材包材,,
跨环境任务不下发tps管控,,,,,,,汪羽杰,,2025/6/17 15:55,,,,2025/6/19 13:08,https://flowus.cn/caa7672c-7ebe-459d-9901-696809bf8305,,10.68.,,,,,,,,,,,,,,,,,,,,,,
任务失败，需要调用继续任务接口的任务下发了指定设备任务导致的问题,已解决,,最终原因定位：到异常区任务模板是需要调用continueTask 接口，但是wms下的是指定货架和设备的搬运任务，导致车直接接任务走了，到异常区这个任务因为预占状态被保留，始终处于执行中状态。当下一次continue被调用时，这个任务继续执行，导致了真正被调用continueTask的任务失败。,,,,汪羽杰,,2025/6/17 16:51,,,2.10_1_PCBA 半成品仓库,2025/6/18 17:30,"https://flowus.cn/caa7672c-7ebe-459d-9901-696809bf8305,https://flowus.cn/2ae674b0-9515-4db5-96ab-20f82e314966",,10.68.2.10,,,,,,,,,,,,,YES,,,,,,,PCBA 半成品仓库,,
服务异常，任务参数有误,已解决,,4.5版本迁移设备后缺少设备型号，4.5版本下发任务时是把所有支持的设备型号都下发下去，导致tps查询设备型号时出现空指针，删除添加的设备，按设备型号优先添加一个设备型号恢复。,,,,汪羽杰,,2025/6/18 9:40,,,2.40_包材_行业_备料部_跨楼层配送,2025/6/19 10:50,https://flowus.cn/2ae674b0-9515-4db5-96ab-20f82e314966,"https://flowus.cn/ab5832a0-2a32-4ffa-8dd3-80a37e76a256,https://flowus.cn/7cbf16f6-b073-4c14-8b24-3b337e5af5d1",10.68.2.40,,,,问题记录,https://flowus.cn/7c26b2b2-0bf2-49ce-9160-0a30df5539cd,停线级（较大影响）,,,,,,,YES,平台,,,,,,材行业_备料部_跨楼层配送,,
电梯端口通但是无法连接,已解决,,新服务器梯控模块版本不对,,YES,,汪羽杰,,2025/6/18 17:29,,,2.40_包材_行业_备料部_跨楼层配送,2025/6/18 17:35,https://flowus.cn/2ae674b0-9515-4db5-96ab-20f82e314966,,10.68.2.40,,,,,,,,,,,,,YES,平台,,,,,,材行业_备料部_跨楼层配送,,
滚筒反转存储一部,观察中,,,,,,汪羽杰,,2025/6/19 15:48,,,2.31_28_29_31_A2存储备料区域,2025/6/23 11:35,"https://flowus.cn/48cecd6d-d25d-450d-9179-6fd79efe655d,https://flowus.cn/c61099b7-d6f2-4edf-9bc6-480e58ee8e2e,https://flowus.cn/05b81231-d617-49ec-9a86-a842f31a90d7",,10.68.2.31,,,,问题记录,,,,,,,,,,,,,,,,829_31_A2存储备料区域,,
备料车不让滚筒车,已解决,,修改地图,,,,汪羽杰,,2025/6/19 15:48,,,2.31_28_29_31_A2存储备料区域,2025/6/19 15:55,https://flowus.cn/48cecd6d-d25d-450d-9179-6fd79efe655d,,10.68.2.31,,,,问题记录,,,,,,,,,NO,平台,,,,,,829_31_A2存储备料区域,,
设备离线,已解决,,AP问题，只闪绿灯，没有闪蓝灯，没有5g信号，断电重启后变成常亮黄灯,,,,汪羽杰,,2025/6/19 15:48,,,2.31_28_29_31_A2存储备料区域,2025/6/19 15:55,https://flowus.cn/48cecd6d-d25d-450d-9179-6fd79efe655d,,10.68.2.31,,,,问题记录,,,,,,,,,,平台,,,,,,829_31_A2存储备料区域,,
滚筒对接机台要等两秒,,,2.31服务器内存不足,,,,汪羽杰,,2025/6/19 15:53,,,2.31_28_29_31_A2存储备料区域,2025/6/19 19:06,https://flowus.cn/48cecd6d-d25d-450d-9179-6fd79efe655d,,10.68.2.31,,,,,,,,,,,,,,,,,,,,829_31_A2存储备料区域,,
任务失败，设备已经有任务，预占状态丢失，导致一系列任务失败,,,,,,,汪羽杰,,2025/6/20 10:05,,,2.10_1_PCBA 半成品仓库,2025/6/20 18:06,https://flowus.cn/c61099b7-d6f2-4edf-9bc6-480e58ee8e2e,,10.68.2.10,,,,问题记录,,,,,,,,,,,,,,,,PCBA 半成品仓库,,
跨环境任务一直下发,,,,,,,汪羽杰,,2025/6/23 10:42,,,,2025/6/23 11:35,https://flowus.cn/05b81231-d617-49ec-9a86-a842f31a90d7,,10.68.,,,,,,,,,,,,,,,,,,,,,,
提前上报了状态8,,,,,,,汪羽杰,,2025/6/23 14:17,,,,2025/6/23 14:25,https://flowus.cn/05b81231-d617-49ec-9a86-a842f31a90d7,,10.68.,,,,,,,,,,,,,,,,,,,,,,
设备离线,,,,,,,汪羽杰,,2025/6/23 16:49,,,2.31_8_前端三部包材,2025/6/23 19:05,https://flowus.cn/05b81231-d617-49ec-9a86-a842f31a90d7,,10.68.2.31,,,,问题记录,,,,,,,,,,网络,,,,,,前端三部包材,,
路径不可达,,,,,,,汪羽杰,,2025/6/24 12:18,,,,2025/6/24 12:25,https://flowus.cn/3667de03-e6b5-4829-8a5c-6d141c8f9491,,10.68.,,,,,,,,,,,,,,,,,,,,,,




半年度报告
重点典型解决方案：技术优化（如算法升级）、流程调整（如充电策略）。
经验沉淀：形成标准化文档或SOP。技术突破：如新导航方式应用、多车协同算法。
主要写，项目，完成、重点解决、流程上的改进，优化了多少人，节约了多少成本，总体效率提升多少
